time,signal
910,542
911,535
912,537
913,541
915,540
916,543
917,537
918,538
919,540
921,544
922,540
923,541
924,541
925,537
927,535
928,536
929,545
930,536
931,535
933,538
934,543
935,536
936,537
937,541
938,537
939,543
940,535
941,537
942,538
943,536
944,534
945,550
946,536
947,536
948,541
949,544
950,541
952,542
953,545
954,532
955,547
956,537
958,542
959,543
960,535
961,535
962,538
964,545
965,536
966,537
967,537
968,543
970,535
971,544
972,534
973,545
974,530
976,526
977,542
978,541
979,543
980,534
982,534
983,541
984,540
985,545
986,536
987,538
988,540
989,546
990,537
991,536
