time,signal
959,533
961,526
963,528
965,529
967,532
969,535
971,528
973,523
975,530
977,528
979,532
981,531
983,532
985,531
987,524
989,525
991,532
993,536
995,531
997,531
999,529
953,528
955,531
957,531
3,529
5,528
7,500
9,534
11,315
13,608
15,653
17,606
19,607
21,579
23,556
25,537
27,534
29,529
31,529
33,536
35,529
37,532
39,528
41,534
43,529
45,528
47,534
49,528
51,533
53,529
55,533
57,5
59,528
61,533
63,528
65,532
67,533
69,528
71,534
73,538
75,526
77,528
79,526
81,529
83,534
85,535
87,532
89,534
91,533
93,533
95,526
97,532
99,532
101,528
103,536
105,532
107,523
109,519
111,526
115,535
117,531
119,526
121,535
123,532
125,529
127,536
129,535
131,533
133,532
135,548
137,557
139,535
141,533
143,529
145,526
147,528
149,534
151,530
153,528
155,532
157,528
159,528
161,533
163,528
165,529
167,538
169,525
171,529
173,521
175,526
177,528
179,531
181,533
183,528
185,528
187,531
189,524
191,528
193,531
195,531
197,530
199,528
201,525
203,529
205,532
207,535
209,526
211,526
213,526
215,526
217,525
219,533
221,532
223,532
225,534
227,526
229,534
231,531
233,528
235,529
237,526
239,528
241,523
243,528
245,528
247,533
249,533
251,528
253,529
255,531
257,528
259,529
261,52
263,529
265,531
267,523
269,536
271,526
273,528
275,522
277,534
279,526
281,531
283,532
285,528
287,538
289,531
291,530
293,525
295,529
